FlightNumber,TravelDate,FlightType,Airline,AirlineCode,OriginCode,DestinationCode,EquipmentName,Aircraft type ICAO,MTOW,Seats,Passengers,CargoMass,CheckedBaggageMass,O_Lat,O_Lon,D_Lat,D_Lon,Distance_km
SN11913,3/7/2018,P,Brussels Airlines,SN,GVA,CLY,319 (A319),A319,75500,141,,,,46.23809814,6.108950138,42.5244444,8.7930556,464.7084385
SN11917,3/7/2018,P,Brussels Airlines,SN,BRU,CPH,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,55.61790085,12.65600014,754.3832725
SN12006,3/7/2018,P,Brussels Airlines,SN,BRU,CTA,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,37.466801,15.0664,1711.742039
SN12020,3/7/2018,P,Brussels Airlines,SN,BRU,DBV,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,42.56140137,18.26819992,1397.227432
SN12470,3/7/2018,P,Brussels Airlines,SN,BRU,HER,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,35.33969879,25.18029976,2395.434754
SN12482,3/7/2018,P,Brussels Airlines,SN,BRU,IBZ,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,38.8728981,1.37311995,1359.456763
SN12488,3/7/2018,P,Brussels Airlines,SN,BRU,JMK,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,37.43510056,25.34810066,2224.283483
SN12491,3/7/2018,P,Brussels Airlines,SN,BRU,KGS,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,36.79330063,27.0916996,2379.991506
SN12496,3/7/2018,P,Brussels Airlines,SN,BRU,KLX,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,37.06829834,22.02549934,2071.635777
SN12500,3/7/2018,P,Brussels Airlines,SN,BRU,KRK,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,50.077702,19.7848,1084.319423
SN12517,3/7/2018,P,Brussels Airlines,SN,BRU,LED,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,59.8003006,30.26250076,1888.372478
